,carat,cut,color,clarity,table,depth,cert,measurements,price,x,y,z
227,0.23,V.Good,G,VS2,63.0,58.6,GIA,3.98 x 4.00 x 2.34,321.0,3.98,4.0,2.34
228,0.2,Ideal,F,VS2,57.0,61.2,GIA,3.78 x 3.81 x 2.32,321.0,3.78,3.81,2.32
229,0.32,V.Good,G,I1,61.0,60.5,GIA,4.36 x 4.38 x 2.64,321.0,4.36,4.38,2.64
230,0.23,Ideal,I,VS1,59.0,61.4,GIA,3.94 x 3.97 x 2.43,321.0,3.94,3.97,2.43
231,0.22,Ideal,I,VS1,56.0,62.7,GIA,3.82 x 3.85 x 2.41,321.0,3.82,3.85,2.41
232,0.21,Ideal,D,VS2,60.0,61.8,GIA,3.82 x 3.83 x 2.36,321.0,3.82,3.83,2.36
233,0.23,V.Good,D,SI1,56.0,60.3,GIA,3.95 x 4.00 x 2.40,321.0,3.95,4.0,2.4
234,0.36,Good,G,I1,60.0,62.6,GIA,4.49 x 4.46 x 2.80,321.0,4.49,4.46,2.8
235,0.26,Ideal,E,SI2,57.0,61.7,GIA,4.10 x 4.13 x 2.54,322.0,4.1,4.13,2.54
236,0.21,V.Good,K,VVS1,60.0,60.0,GIA,3.83 x 3.85 x 2.30,322.0,3.83,3.85,2.3
237,0.3,V.Good,H,I1,56.0,64.0,GIA,4.23 x 4.26 x 2.72,322.0,4.23,4.26,2.72
238,0.23,Ideal,F,SI1,58.0,62.2,GIA,3.94 x 3.95 x 2.45,322.0,3.94,3.95,2.45
239,0.23,Ideal,F,SI1,57.0,62.4,GIA,3.93 x 3.94 x 2.45,322.0,3.93,3.94,2.45
240,0.28,Good,I,VS1,64.0,59.6,GIA,4.27 x 4.18 x 2.52,322.0,4.27,4.18,2.52
241,0.3,Good,K,SI1,59.0,58.0,GIA,4.45 x 4.41 x 2.57,322.0,4.45,4.41,2.57
242,0.25,Good,H,SI2,63.0,55.5,GIA,2.36 x 4.23 x 4.27,322.0,2.36,4.23,4.27
243,0.25,V.Good,G,SI1,60.0,60.8,GIA,4.07 x 4.08 x 2.48,323.0,4.07,4.08,2.48
244,0.29,Good,I,VS2,67.0,57.4,GIA,4.31 x 4.37 x 2.49,323.0,4.31,4.37,2.49
245,0.2,Ideal,J,VVS1,56.0,61.8,GIA,3.75 x 3.78 x 2.33,323.0,3.75,3.78,2.33
246,0.2,Ideal,H,VVS1,57.0,62.2,GIA,3.73 x 3.76 x 2.33,323.0,3.73,3.76,2.33
247,0.24,Ideal,I,VS2,59.0,61.8,GIA,3.96 x 3.98 x 2.46,323.0,3.96,3.98,2.46
248,0.2,Ideal,J,VVS2,56.0,62.3,GIA,3.71 x 3.74 x 2.32,323.0,3.71,3.74,2.32
249,0.2,Ideal,I,VVS1,56.0,62.2,GIA,3.74 x 3.76 x 2.33,323.0,3.74,3.76,2.33
250,0.2,Ideal,I,VVS2,61.0,59.5,GIA,3.84 x 3.87 x 2.29,323.0,3.84,3.87,2.29
251,0.2,Ideal,H,VVS1,56.0,62.7,GIA,3.73 x 3.76 x 2.35,323.0,3.73,3.76,2.35
252,0.31,Ideal,I,I1,56.0,62.6,GIA,4.30 x 4.32 x 2.70,323.0,4.3,4.32,2.7
253,0.24,Ideal,I,VS2,57.0,61.8,GIA,3.99 x 4.01 x 2.48,323.0,3.99,4.01,2.48
254,0.25,V.Good,J,VS1,57.0,61.3,GIA,4.04 x 4.05 x 2.48,323.0,4.04,4.05,2.48
255,0.24,Ideal,I,VS2,58.0,61.6,GIA,4.00 x 4.01 x 2.47,323.0,4.0,4.01,2.47
256,0.3,Good,K,VS2,65.0,60.7,GIA,4.24 x 4.31 x 2.60,323.0,4.24,4.31,2.6
257,0.31,V.Good,H,I1,59.0,59.7,GIA,4.39 x 4.40 x 2.62,323.0,4.39,4.4,2.62
258,0.2,Ideal,H,VVS1,56.0,62.6,GIA,3.75 x 3.77 x 2.35,323.0,3.75,3.77,2.35
259,0.23,Ideal,F,SI1,59.0,60.5,GIA,4.01 x 4.04 x 2.43,323.0,4.01,4.04,2.43
260,0.23,Good,E,VS2,57.0,63.1,GIA,3.90 x 3.94 x 2.47,323.0,3.9,3.94,2.47
261,0.34,Good,J,SI2,57.0,63.0,IGI,4.40 x 4.43 x 2.78,323.0,4.4,4.43,2.78
262,0.24,Ideal,E,SI1,56.0,62.4,GIA,4.00 x 4.01 x 2.50,323.0,4.0,4.01,2.5
263,0.25,Ideal,E,SI1,57.0,61.4,GIA,4.09 x 4.11 x 2.52,323.0,4.09,4.11,2.52
264,0.3,Good,I,SI1,57.0,67.2,EGL,4.21 x 4.12 x 2.79,323.0,4.21,4.12,2.79
265,0.48,Good,J,I2,59.0,66.1,GIA,4.83 x 4.76 x 3.17,323.0,4.83,4.76,3.17
266,0.23,Good,K,VVS1,55.0,64.4,GIA,3.84 x 3.85 x 2.47,324.0,3.84,3.85,2.47
267,0.2,V.Good,E,VS1,57.0,62.4,GIA,3.72 x 3.76 x 2.33,324.0,3.72,3.76,2.33
268,0.27,V.Good,D,SI1,62.5,59.6,IGI,4.12 x 4.17 x 2.47,324.0,4.12,4.17,2.47
269,0.23,V.Good,H,VS2,65.5,58.4,IGI,3.98 x 4.01 x 2.34,324.0,3.98,4.01,2.34
270,0.24,Ideal,F,SI1,56.0,62.5,GIA,3.96 x 3.98 x 2.48,324.0,3.96,3.98,2.48
271,0.23,V.Good,H,VS2,62.0,63.4,IGI,3.81 x 3.86 x 2.43,324.0,3.81,3.86,2.43
272,0.23,Ideal,F,SI2,55.0,61.5,GIA,3.96 x 3.98 x 2.44,324.0,3.96,3.98,2.44
273,0.2,Ideal,E,VS2,56.0,62.3,GIA,3.74 x 3.77 x 2.34,324.0,3.74,3.77,2.34
274,0.28,Good,E,SI2,56.0,69.7,EGL,2.74 x 3.91 x 3.95,324.0,2.74,3.91,3.95
275,0.27,Ideal,F,SI2,57.0,62.1,GIA,4.15 x 4.16 x 2.58,325.0,4.15,4.16,2.58
276,0.22,V.Good,E,VS2,62.0,59.7,GIA,3.92 x 3.95 x 2.35,325.0,3.92,3.95,2.35
277,0.21,Ideal,J,IF,56.0,61.6,IGI,3.85 x 3.88 x 2.38,325.0,3.85,3.88,2.38
278,0.2,Ideal,F,VS1,60.0,61.1,GIA,3.77 x 3.79 x 2.31,325.0,3.77,3.79,2.31
279,0.2,Ideal,K,VVS1,60.0,60.7,GIA,3.77 x 3.80 x 2.30,325.0,3.77,3.8,2.3
280,0.2,V.Good,D,VS1,58.0,63.8,GIA,3.68 x 3.71 x 2.36,325.0,3.68,3.71,2.36
281,0.3,V.Good,H,I1,61.0,60.2,GIA,4.29 x 4.32 x 2.59,325.0,4.29,4.32,2.59
282,0.2,Good,G,VVS2,58.0,64.5,GIA,3.68 x 3.72 x 2.39,325.0,3.68,3.72,2.39
283,0.2,V.Good,G,VVS2,61.0,62.0,GIA,3.72 x 3.74 x 2.32,325.0,3.72,3.74,2.32
284,0.3,Ideal,I,I1,57.0,62.2,GIA,4.27 x 4.30 x 2.66,325.0,4.27,4.3,2.66
285,0.3,V.Good,F,I1,57.0,62.9,GIA,4.26 x 4.29 x 2.69,325.0,4.26,4.29,2.69
286,0.34,V.Good,K,SI2,59.5,60.3,IGI,4.48 x 4.50 x 2.71,325.0,4.48,4.5,2.71
287,0.24,V.Good,E,VS1,62.0,62.0,GIA,3.92 x 3.98 x 2.45,325.0,3.92,3.98,2.45
288,0.41,Good,J,I1,58.0,61.5,GIA,4.81 x 4.74 x 2.94,325.0,4.81,4.74,2.94
289,0.27,V.Good,F,SI2,58.0,62.2,GIA,4.13 x 4.17 x 2.58,326.0,4.13,4.17,2.58
290,0.2,Ideal,H,VVS1,59.0,61.5,GIA,3.76 x 3.78 x 2.32,326.0,3.76,3.78,2.32
291,0.2,Ideal,H,VVS2,57.0,62.4,GIA,3.74 x 3.76 x 2.34,326.0,3.74,3.76,2.34
292,0.23,Ideal,D,SI1,57.0,61.8,GIA,3.92 x 3.94 x 2.42,326.0,3.92,3.94,2.42
293,0.24,Ideal,F,SI1,60.0,59.6,GIA,4.06 x 4.08 x 2.42,326.0,4.06,4.08,2.42
294,0.31,V.Good,H,I1,57.0,62.6,GIA,4.31 x 4.33 x 2.71,326.0,4.31,4.33,2.71
295,0.23,V.Good,E,VS2,58.0,62.4,GIA,3.92 x 3.93 x 2.45,326.0,3.92,3.93,2.45
296,0.23,V.Good,E,VS2,55.0,63.1,GIA,3.89 x 3.91 x 2.46,326.0,3.89,3.91,2.46
297,0.26,V.Good,F,SI1,56.0,63.0,GIA,4.04 x 4.06 x 2.55,326.0,4.04,4.06,2.55
298,0.25,Good,F,VS1,64.0,57.6,GIA,4.13 x 4.19 x 2.40,326.0,4.13,4.19,2.4
299,0.4,V.Good,K,I1,64.0,60.0,GIA,4.73 x 4.77 x 2.85,326.0,4.73,4.77,2.85
300,0.24,Good,H,SI1,60.0,57.3,GIA,4.15 x 4.16 x 2.38,327.0,4.15,4.16,2.38
301,0.3,Good,I,SI1,62.0,64.4,GIA,4.18 x 4.20 x 2.70,327.0,4.18,4.2,2.7
302,0.23,Ideal,D,SI2,55.0,61.6,GIA,3.95 x 3.98 x 2.44,327.0,3.95,3.98,2.44
303,0.27,Ideal,G,SI2,61.0,60.4,GIA,4.21 x 4.22 x 2.55,327.0,4.21,4.22,2.55
304,0.23,V.Good,J,VVS2,63.0,60.5,IGI,3.92 x 3.95 x 2.38,327.0,3.92,3.95,2.38
305,0.2,V.Good,H,VVS1,60.0,62.6,GIA,3.69 x 3.72 x 2.32,327.0,3.69,3.72,2.32
306,0.29,Good,E,SI1,56.0,65.1,GIA,4.18 x 4.20 x 2.73,327.0,4.18,4.2,2.73
307,0.28,Good,H,VS2,63.0,64.9,EGL USA,4.08 x 4.15 x 2.67,327.0,4.08,4.15,2.67
308,0.4,Good,L,SI2,67.0,59.5,GIA,4.83 x 4.74 x 2.85,327.0,4.83,4.74,2.85
309,0.26,V.Good,H,SI1,58.0,62.4,GIA,4.08 x 4.10 x 2.55,328.0,4.08,4.1,2.55
310,0.2,Ideal,H,VVS2,58.0,62.4,GIA,3.72 x 3.73 x 2.32,328.0,3.72,3.73,2.32
311,0.21,Ideal,J,VVS1,57.0,62.5,GIA,3.80 x 3.81 x 2.38,328.0,3.8,3.81,2.38
312,0.21,V.Good,E,VVS2,57.0,63.2,GIA,3.77 x 3.79 x 2.39,328.0,3.77,3.79,2.39
313,0.23,V.Good,H,VS2,66.0,59.1,IGI,3.98 x 4.03 x 2.37,328.0,3.98,4.03,2.37
314,0.21,V.Good,F,VVS1,61.0,61.4,IGI,3.82 x 3.85 x 2.35,328.0,3.82,3.85,2.35
315,0.3,Good,F,I1,56.0,64.8,GIA,4.18 x 4.18 x 2.71,328.0,4.18,4.18,2.71
316,0.3,Good,F,I1,53.0,62.0,GIA,4.26 x 4.27 x 2.64,328.0,4.26,4.27,2.64
317,0.36,V.Good,I,I1,56.0,61.8,GIA,4.56 x 4.58 x 2.83,328.0,4.56,4.58,2.83
318,0.26,Ideal,H,VS2,56.0,60.8,IGI,4.12 x 4.14 x 2.51,328.0,4.12,4.14,2.51
319,0.21,Ideal,H,VVS2,57.0,61.6,GIA,3.85 x 3.87 x 2.37,328.0,3.85,3.87,2.37
320,0.23,Ideal,E,VS2,60.0,60.0,GIA,3.95 x 3.98 x 2.38,328.0,3.95,3.98,2.38
321,0.21,Ideal,F,VS1,59.0,60.1,GIA,3.88 x 3.90 x 2.34,328.0,3.88,3.9,2.34
322,0.23,Good,D,VS1,57.0,66.8,GIA,3.79 x 3.75 x 2.52,328.0,3.79,3.75,2.52
323,0.23,Good,G,SI1,55.0,64.7,GIA,2.46 x 3.79 x 3.83,328.0,2.46,3.79,3.83
324,0.27,V.Good,F,SI2,57.0,62.0,GIA,4.13 x 4.15 x 2.57,329.0,4.13,4.15,2.57
325,0.2,Ideal,H,VVS2,58.0,61.3,GIA,3.75 x 3.78 x 2.31,329.0,3.75,3.78,2.31
326,0.2,Ideal,H,VVS2,57.0,61.2,GIA,3.75 x 3.77 x 2.30,329.0,3.75,3.77,2.3
327,0.2,Ideal,H,VVS2,58.0,60.9,GIA,3.81 x 3.85 x 2.33,329.0,3.81,3.85,2.33
328,0.27,Ideal,H,SI1,56.0,61.9,GIA,4.14 x 4.16 x 2.57,329.0,4.14,4.16,2.57
329,0.21,V.Good,I,VVS1,62.0,59.5,GIA,3.87 x 3.89 x 2.31,329.0,3.87,3.89,2.31
330,0.38,V.Good,J,I1,61.0,62.5,GIA,4.57 x 4.58 x 2.86,329.0,4.57,4.58,2.86
331,0.25,V.Good,H,VS1,56.0,63.1,GIA,3.97 x 4.00 x 2.52,329.0,3.97,4.0,2.52
332,0.3,V.Good,D,I2,62.0,60.8,EGL,4.28 x 4.25 x 2.59,329.0,4.28,4.25,2.59
333,0.3,V.Good,D,I2,59.0,62.6,EGL,4.31 x 4.25 x 2.68,329.0,4.31,4.25,2.68
334,0.5,Good,J,I2,56.0,68.5,EGL,4.94 x 4.78 x 3.33,329.0,4.94,4.78,3.33
335,0.21,Ideal,K,VVS1,60.0,61.1,GIA,3.81 x 3.86 x 2.35,330.0,3.81,3.86,2.35
336,0.27,V.Good,F,SI2,61.0,59.8,GIA,4.18 x 4.20 x 2.51,330.0,4.18,4.2,2.51
337,0.23,Ideal,H,VS1,57.0,62.4,GIA,3.90 x 3.92 x 2.44,330.0,3.9,3.92,2.44
338,0.3,V.Good,G,I1,57.0,62.1,GIA,4.25 x 4.27 x 2.64,330.0,4.25,4.27,2.64
339,0.2,Ideal,E,VVS2,58.0,61.7,GIA,3.76 x 3.78 x 2.33,330.0,3.76,3.78,2.33
340,0.37,Good,J,SI1,55.0,57.7,GIA,4.75 x 4.62 x 2.70,330.0,4.75,4.62,2.7
341,0.31,V.Good,F,I1,61.0,61.8,GIA,4.34 x 4.3 x 2.67,330.0,4.34,4.3,2.67
342,0.26,Good,G,VS1,62.0,61.1,GIA,4.18 x 4.14 x 2.54,330.0,4.18,4.14,2.54
343,0.22,V.Good,F,VS1,62.0,60.0,GIA,3.96 x 3.93 x 2.37,330.0,3.96,3.93,2.37
344,0.3,V.Good,F,I1,60.0,60.1,GIA,4.36 x 4.35 x 2.62,330.0,4.36,4.35,2.62
345,0.3,Ideal,F,I1,57.0,61.8,GIA,4.33 x 4.31 x 2.67,330.0,4.33,4.31,2.67
346,0.3,Good,J,SI1,68.0,60.5,GIA,4.29 x 4.33 x 2.61,330.0,4.29,4.33,2.61
347,0.22,V.Good,D,VS2,59.0,61.6,GIA,3.89 x 3.88 x 2.39,330.0,3.89,3.88,2.39
348,0.21,Ideal,F,VS1,58.0,60.2,GIA,3.88 x 3.9 x 2.34,330.0,3.88,3.9,2.34
349,0.39,V.Good,K,SI2,58.0,63.1,GIA,4.66 x 4.62 x 2.93,330.0,4.66,4.62,2.93
350,0.28,V.Good,E,VS2,58.0,61.4,EGL Intl.,4.18 x 4.25 x 2.59,330.0,4.18,4.25,2.59
351,0.28,V.Good,E,VS1,60.0,52.6,EGL Intl.,4.5 x 4.55 x 2.38,330.0,4.5,4.55,2.38
352,0.26,Ideal,D,VS1,0.0,0.0,EGL Intl.,4.1 x 4.24 x 2.51,330.0,4.1,4.24,2.51
353,0.3,V.Good,F,I1,62.0,61.2,GIA,4.29 x 4.34 x 2.64,330.0,4.29,4.34,2.64
354,0.41,Good,J,I1,58.0,61.5,GIA,4.74 x 4.81 x 2.94,330.0,4.74,4.81,2.94
355,0.27,V.Good,I,VS1,61.0,58.4,GIA,4.22 x 4.31 x 2.49,330.0,4.22,4.31,2.49
356,0.26,V.Good,E,SI2,59.0,63.4,GIA,4.03 x 4 x 2.55,330.0,4.03,4.0,2.55
357,0.23,Good,D,VVS2,66.0,60.2,GIA,4.01 x 3.93 x 2.39,330.0,4.01,3.93,2.39
358,0.22,Good,H,VS2,65.0,61.0,GIA,3.82 x 3.88 x 2.35,330.0,3.82,3.88,2.35
359,0.22,V.Good,J,VVS2,59.0,61.5,GIA,3.9 x 3.86 x 2.39,330.0,3.9,3.86,2.39
360,0.21,V.Good,E,VS2,60.0,59.2,GIA,3.91 x 3.86 x 2.3,330.0,3.91,3.86,2.3
361,0.4,Good,L,SI2,67.0,59.5,GIA,4.74 x 4.83 x 2.85,330.0,4.74,4.83,2.85
362,0.23,Good,F,SI1,62.0,60.5,GIA,3.93 x 3.90 x 2.37,331.0,3.93,3.9,2.37
363,0.23,Ideal,E,SI2,55.0,61.9,GIA,3.91 x 3.96 x 2.44,331.0,3.91,3.96,2.44
364,0.2,Ideal,H,IF,56.0,62.2,GIA,3.72 x 3.74 x 2.32,331.0,3.72,3.74,2.32
365,0.21,Ideal,F,VS1,58.0,60.2,GIA,3.88 x 3.90 x 2.34,331.0,3.88,3.9,2.34
366,0.23,Ideal,F,SI1,57.0,60.2,GIA,4.03 x 4.05 x 2.43,331.0,4.03,4.05,2.43
367,0.3,Good,G,I1,55.0,66.1,GIA,4.14 x 4.20 x 2.76,331.0,4.14,4.2,2.76
368,0.3,Good,I,I1,56.0,66.2,GIA,4.11 x 4.13 x 2.73,331.0,4.11,4.13,2.73
369,0.2,Ideal,E,VS2,55.0,62.6,GIA,3.75 x 3.77 x 2.36,331.0,3.75,3.77,2.36
370,0.3,Good,J,SI1,68.0,60.5,GIA,4.33 x 4.29 x 2.61,331.0,4.33,4.29,2.61
371,0.35,Good,E,I1,66.0,56.1,GIA,4.79 x 4.64 x 2.64,331.0,4.79,4.64,2.64
372,0.23,Good,J,VS1,62.0,60.7,GIA,3.98 x 3.95 x 2.41,332.0,3.98,3.95,2.41
373,0.3,Good,D,I1,63.0,59.3,GIA,4.32 x 4.34 x 2.57,332.0,4.32,4.34,2.57
374,0.24,Ideal,E,SI1,57.0,61.4,GIA,4.05 x 4.06 x 2.49,332.0,4.05,4.06,2.49
375,0.27,V.Good,I,VS1,61.0,58.4,GIA,4.22 x 4.31 x 2.49,332.0,4.22,4.31,2.49
376,0.22,V.Good,E,VVS2,63.5,60.6,IGI,3.87 x 3.89 x 2.35,332.0,3.87,3.89,2.35
377,0.25,Ideal,J,VS1,58.0,60.9,GIA,4.08 x 4.09 x 2.49,332.0,4.08,4.09,2.49
378,0.21,Ideal,F,VS1,56.0,62.8,GIA,3.79 x 3.81 x 2.39,332.0,3.79,3.81,2.39
379,0.23,Ideal,E,SI1,56.0,62.0,GIA,3.92 x 3.93 x 2.43,332.0,3.92,3.93,2.43
380,0.23,Ideal,G,SI1,61.0,59.0,GIA,4.02 x 4.05 x 2.38,332.0,4.02,4.05,2.38
381,0.23,Good,E,VS1,63.0,62.5,GIA,3.85 x 3.88 x 2.42,332.0,3.85,3.88,2.42
382,0.23,Ideal,H,SI1,56.0,61.8,GIA,3.94 x 3.96 x 2.44,332.0,3.94,3.96,2.44
383,0.26,Good,G,VS1,62.0,61.1,GIA,4.18 x 4.14 x 2.54,332.0,4.18,4.14,2.54
384,0.32,V.Good,K,SI2,59.0,61.9,GIA,4.40 x 4.37 x 2.71,332.0,4.4,4.37,2.71
385,0.37,V.Good,I,SI1,61.0,60.9,EGL,4.60 x 4.57 x 2.80,332.0,4.6,4.57,2.8
386,0.23,Ideal,F,SI2,55.0,61.5,GIA,3.96 x 3.99 x 2.45,333.0,3.96,3.99,2.45
387,0.25,Ideal,K,SI1,57.0,62.2,IGI,4.03 x 4.04 x 2.51,333.0,4.03,4.04,2.51
388,0.23,V.Good,I,VVS1,57.0,63.6,GIA,3.86 x 3.87 x 2.46,333.0,3.86,3.87,2.46
389,0.23,Ideal,J,VS2,59.0,61.6,GIA,3.91 x 3.93 x 2.42,333.0,3.91,3.93,2.42
390,0.28,Good,I,VVS2,67.0,57.8,GIA,4.24 x 4.33 x 2.48,333.0,4.24,4.33,2.48
391,0.23,Ideal,D,SI1,60.0,61.4,GIA,3.93 x 3.95 x 2.42,333.0,3.93,3.95,2.42
392,0.2,Ideal,F,VS1,59.0,61.2,GIA,3.80 x 3.83 x 2.33,333.0,3.8,3.83,2.33
393,0.32,V.Good,H,I1,60.0,59.5,GIA,4.46 x 4.48 x 2.66,333.0,4.46,4.48,2.66
394,0.32,V.Good,H,I1,57.0,62.7,GIA,4.33 x 4.35 x 2.72,333.0,4.33,4.35,2.72
395,0.26,V.Good,G,SI1,59.0,61.3,GIA,4.09 x 4.13 x 2.52,333.0,4.09,4.13,2.52
396,0.23,V.Good,E,VS1,64.0,60.0,GIA,3.90 x 3.99 x 2.37,333.0,3.9,3.99,2.37
397,0.23,Ideal,I,VS2,55.0,62.7,GIA,3.96 x 3.98 x 2.49,333.0,3.96,3.98,2.49
398,0.24,Good,F,VVS2,63.0,62.9,GIA,3.94 x 3.97 x 2.49,333.0,3.94,3.97,2.49
399,0.23,V.Good,F,SI1,55.0,63.3,GIA,3.87 x 3.89 x 2.46,333.0,3.87,3.89,2.46
400,0.26,V.Good,D,SI2,58.0,59.4,GIA,4.14 x 4.18 x 2.47,334.0,4.14,4.18,2.47
401,0.27,V.Good,E,SI2,60.0,61.3,GIA,4.17 x 4.20 x 2.57,334.0,4.17,4.2,2.57
402,0.23,Ideal,G,VS2,55.0,62.7,GIA,3.94 x 3.96 x 2.48,334.0,3.94,3.96,2.48
403,0.21,V.Good,I,IF,61.0,59.8,GIA,3.87 x 3.90 x 2.32,334.0,3.87,3.9,2.32
404,0.25,Ideal,F,SI1,67.0,61.5,GIA,4.07 x 4.09 x 2.51,334.0,4.07,4.09,2.51
405,0.24,Good,G,VS2,66.0,59.5,GIA,4.01 x 4.04 x 2.40,334.0,4.01,4.04,2.4
406,0.3,Good,G,I1,62.0,56.5,GIA,4.45 x 4.47 x 2.52,334.0,4.45,4.47,2.52
407,0.3,V.Good,F,I1,58.0,63.1,GIA,4.25 x 4.27 x 2.69,334.0,4.25,4.27,2.69
408,0.23,V.Good,E,VS1,62.0,60.7,GIA,3.97 x 4.04 x 2.43,334.0,3.97,4.04,2.43
409,0.3,V.Good,K,SI2,55.5,64.2,IGI,4.22 x 4.24 x 2.71,334.0,4.22,4.24,2.71
410,0.25,Ideal,I,VS2,57.0,62.7,GIA,4.04 x 4.06 x 2.54,334.0,4.04,4.06,2.54
411,0.23,Ideal,G,VS2,58.0,61.6,GIA,3.96 x 3.98 x 2.45,334.0,3.96,3.98,2.45
412,0.35,Good,J,SI1,59.0,66.8,GIA,4.33 x 4.30 x 2.88,334.0,4.33,4.3,2.88
413,0.43,Good,L,SI1,65.0,62.4,GIA,4.81 x 4.74 x 2.98,334.0,4.81,4.74,2.98
414,0.23,V.Good,D,SI1,60.0,60.7,GIA,3.97 x 4.01 x 2.42,335.0,3.97,4.01,2.42
415,0.29,V.Good,G,SI2,57.0,62.7,GIA,4.20 x 4.22 x 2.64,335.0,4.2,4.22,2.64
416,0.41,Good,J,I1,65.0,58.0,GIA,4.89 x 4.91 x 2.84,335.0,4.89,4.91,2.84
417,0.2,Ideal,G,VVS1,57.0,62.3,GIA,3.75 x 3.77 x 2.35,335.0,3.75,3.77,2.35
418,0.23,Ideal,I,VS1,60.0,61.6,GIA,3.90 x 3.92 x 2.41,335.0,3.9,3.92,2.41
419,0.2,Ideal,J,IF,61.0,60.2,GIA,3.78 x 3.81 x 2.28,335.0,3.78,3.81,2.28
420,0.2,Ideal,I,IF,57.0,62.2,GIA,3.74 x 3.77 x 2.34,335.0,3.74,3.77,2.34
421,0.2,Ideal,I,IF,56.0,62.4,GIA,3.76 x 3.78 x 2.35,335.0,3.76,3.78,2.35
422,0.21,Ideal,E,VS2,58.0,62.3,GIA,3.83 x 3.84 x 2.39,335.0,3.83,3.84,2.39
423,0.28,V.Good,I,VS2,59.5,63.4,IGI,4.12 x 4.17 x 2.63,335.0,4.12,4.17,2.63
424,0.23,Good,D,VS2,56.0,59.8,GIA,3.95 x 3.96 x 2.37,335.0,3.95,3.96,2.37
425,0.23,Good,D,VS2,61.0,59.2,GIA,3.93 x 3.95 x 2.33,335.0,3.93,3.95,2.33
426,0.3,V.Good,G,I1,57.0,64.0,GIA,4.18 x 4.20 x 2.68,335.0,4.18,4.2,2.68
427,0.29,Good,F,SI1,62.0,63.2,GIA,4.20 x 4.18 x 2.65,335.0,4.2,4.18,2.65
428,0.32,Ideal,L,SI1,59.0,61.7,GIA,4.39 x 4.37 x 2.70,335.0,4.39,4.37,2.7
429,0.42,Ideal,I,I2,57.0,60.9,GIA,4.88 x 4.84 x 2.96,335.0,4.88,4.84,2.96
430,0.27,V.Good,F,SI2,56.0,62.8,GIA,4.11 x 4.12 x 2.59,336.0,4.11,4.12,2.59
431,0.23,V.Good,J,VS2,58.0,62.8,GIA,3.94 x 3.91 x 2.46,336.0,3.94,3.91,2.46
432,0.23,Ideal,J,VS2,57.0,60.9,GIA,3.94 x 3.96 x 2.40,336.0,3.94,3.96,2.4
433,0.2,Ideal,G,VVS1,60.0,59.7,GIA,3.77 x 3.79 x 2.26,336.0,3.77,3.79,2.26
434,0.32,Ideal,H,I1,56.0,62.1,GIA,4.36 x 4.41 x 2.73,336.0,4.36,4.41,2.73
435,0.3,V.Good,F,I1,62.0,61.2,GIA,4.29 x 4.34 x 2.64,336.0,4.29,4.34,2.64
436,0.23,Good,F,VS1,55.0,64.6,GIA,3.85 x 3.86 x 2.49,336.0,3.85,3.86,2.49
437,0.24,Ideal,F,SI1,58.0,61.6,GIA,4.02 x 4.04 x 2.48,336.0,4.02,4.04,2.48
438,0.23,V.Good,F,SI1,59.0,61.6,GIA,3.93 x 3.94 x 2.42,336.0,3.93,3.94,2.42
439,0.3,V.Good,G,I1,58.0,62.1,GIA,4.24 x 4.32 x 2.66,336.0,4.24,4.32,2.66
440,0.23,V.Good,E,VS2,58.0,63.4,GIA,3.88 x 3.83 x 2.45,336.0,3.88,3.83,2.45
441,0.23,V.Good,I,VVS2,60.0,60.4,GIA,3.97 x 3.95 x 2.39,336.0,3.97,3.95,2.39
442,0.54,V.Good,I,I1,59.0,58.8,EGL,5.28 x 5.26 x 3.10,336.0,5.28,5.26,3.1
443,0.23,V.Good,D,VS2,55.0,64.1,GIA,3.84 x 3.87 x 2.47,337.0,3.84,3.87,2.47
444,0.23,V.Good,E,VS1,61.0,60.9,GIA,3.98 x 4.01 x 2.43,337.0,3.98,4.01,2.43
445,0.24,Good,G,VS1,58.5,64.9,IGI,3.84 x 3.86 x 2.50,337.0,3.84,3.86,2.5
446,0.32,Ideal,H,I1,61.0,60.9,GIA,4.37 x 4.43 x 2.68,337.0,4.37,4.43,2.68
447,0.23,V.Good,D,VS2,55.0,59.8,EGL USA,4.03 x 4.14 x 2.42,337.0,4.03,4.14,2.42
448,0.38,V.Good,K,SI2,60.0,59.9,GIA,4.73 x 4.69 x 2.82,337.0,4.73,4.69,2.82
449,0.26,Good,E,SI2,63.0,55.3,EGL,2.41 x 4.34 x 4.37,337.0,2.41,4.34,4.37
450,0.23,Good,D,SI1,56.0,64.7,GIA,3.87 x 3.84 x 2.50,338.0,3.87,3.84,2.5
451,0.3,Good,H,SI1,61.0,63.2,GIA,4.26 x 4.30 x 2.70,338.0,4.26,4.3,2.7
452,0.23,V.Good,E,SI1,56.0,61.3,GIA,3.94 x 3.97 x 2.43,338.0,3.94,3.97,2.43
453,0.29,V.Good,E,SI2,57.0,59.0,GIA,4.33 x 4.35 x 2.56,338.0,4.33,4.35,2.56
454,0.29,Good,J,VS2,65.0,61.4,GIA,4.18 x 4.27 x 2.59,338.0,4.18,4.27,2.59
455,0.21,Ideal,J,VVS2,57.0,62.1,GIA,3.79 x 3.81 x 2.36,338.0,3.79,3.81,2.36
456,0.21,Ideal,H,VVS1,59.0,60.3,GIA,3.84 x 3.86 x 2.32,338.0,3.84,3.86,2.32
